,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,quality,score1,score2,winner
0,PHI,CLE,1674.314,1647.304,0.6294019745620898,0.3705980254379102,1672.67137427,1643.76893127,0.620653105131,0.379346894869,98.0,10,35,1
1,BCL,WSH,1337.541,1454.448,0.4258506854804365,0.5741493145195635,1337.6325851,1454.72254181,0.425356644165,0.5746433558349999,6.0,14,38,1
2,PIT,NYG,1485.849,1461.717,0.6255294000642098,0.3744705999357902,1485.7017011,1462.40563041,0.612587104765,0.387412895235,35.0,7,18,1
3,GB,DET,1353.646,1449.128,0.4562450830636811,0.5437549169363188,1354.3999332,1449.70351065,0.443900424711,0.556099575289,7.0,7,45,1
4,LAR,CHI,1564.606,1628.688,0.5013211051227595,0.4986788948772405,1564.94180775,1628.0839745,0.498517531057,0.501482468943,88.0,20,24,1
5,SF,NYY,1589.774,1321.925,0.8716953930135873,0.1283046069864126,1590.9230366,1321.90937565,0.872473584593,0.127526415407,21.0,17,21,1
6,LAR,NYY,1548.463,1354.986,0.8157648513671472,0.1842351486328528,1549.2268171,1355.01910902,0.815533140556,0.184466859444,21.0,45,28,0
7,DET,PIT,1482.101,1453.448,0.6316053577729376,0.3683946422270624,1481.66175657,1454.11872911,0.623211738927,0.376788261073,33.0,10,7,0
8,BCL,CLE,1310.758,1690.107,0.1406939351908571,0.8593060648091428,1310.86767146,1685.82727987,0.134173498428,0.865826501572,38.0,0,31,1
9,GB,WSH,1320.673,1481.231,0.3658467613244128,0.6341532386755871,1322.44168728,1481.48745545,0.339060002373,0.6609399976270001,8.0,35,21,0
10,ARI,PHI,1554.09,1631.511,0.4821323556581008,0.5178676443418992,1553.45768842,1630.61302567,0.524730051241,0.4752699487589999,86.0,7,45,1
11,SF,CHI,1556.713,1644.831,0.4667795362899907,0.5332204637100093,1557.81330323,1643.79896515,0.468633018856,0.531366981144,89.0,20,32,1
12,NYY,DET,1345.455,1491.898,0.3848947208236474,0.6151052791763526,1345.48569303,1491.711107,0.37708153044,0.6229184695600001,14.0,44,21,0
13,SF,LAR,1533.017,1557.993,0.5573457184812666,0.4426542815187334,1533.98418507,1558.76023309,0.54541693516,0.45458306484,74.0,14,35,1
14,GB,CHI,1356.579,1668.528,0.1944182822135452,0.8055817177864547,1360.21063319,1667.62808331,0.18628222194,0.81371777806,47.0,31,21,0
15,WSH,PIT,1445.325,1443.651,0.5947908303912846,0.4052091696087154,1443.71850954,1444.06937868,0.606462504572,0.393537495428,23.0,7,26,1
16,CLE,NYG,1698.64,1494.118,0.8251293131231271,0.1748706868768729,1693.93409091,1493.9886024,0.801698106037,0.198301893963,87.0,0,6,1
17,ARI,BCL,1518.962,1302.225,0.8350443986986259,0.1649556013013741,1514.68824675,1302.76086042,0.819391206628,0.1806087933719999,6.0,55,13,0
18,PIT,CLE,1480.402,1662.044,0.3381732836989964,0.6618267163010035,1481.66657648,1658.87443849,0.328166245043,0.6718337549569999,79.0,17,30,1
19,PHI,LAR,1666.639,1593.087,0.6894543175343871,0.3105456824656128,1669.38246734,1593.53208086,0.711427818909,0.288572181091,96.0,56,20,0
20,WSH,NYG,1408.575,1530.713,0.4185051870384148,0.5814948129615851,1406.12131174,1529.04825482,0.387673974855,0.612326025145,26.0,17,21,1
21,DET,SF,1451.298,1497.923,0.5264191230670906,0.4735808769329094,1450.48356908,1499.2123373,0.501538755449,0.498461244551,40.0,24,7,0
22,CHI,ARI,1625.009,1529.962,0.7153078505082332,0.2846921494917668,1623.48434217,1526.82581684,0.716639102649,0.283360897351,82.0,27,6,0
23,GB,NYY,1400.098,1386.055,0.6118292888505762,0.3881707111494238,1404.35437434,1386.71323095,0.587332979278,0.412667020722,7.0,31,44,1
24,NYY,SF,1419.552,1470.773,0.5198191852306521,0.4801808147693479,1418.59920796,1470.47319007,0.527769269355,0.472230730645,27.0,29,24,0
25,NYG,PIT,1543.844,1463.451,0.6978223327193818,0.3021776672806182,1541.08087397,1465.26712281,0.669221415248,0.3307785847519999,54.0,6,17,1
26,BCL,PHI,1291.225,1687.737,0.1291678560749089,0.870832143925091,1290.62329033,1689.48631174,0.146449270581,0.853550729419,32.0,14,24,1
27,CHI,GB,1641.415,1366.602,0.8761125281006933,0.1238874718993067,1639.82253053,1372.46839732,0.8796556236,0.1203443763999999,44.0,28,14,0
28,DET,LAR,1478.448,1571.989,0.4590183423714195,0.5409816576285805,1479.22271632,1573.42823646,0.476930327995,0.523069672005,64.0,28,30,1
29,CLE,ARI,1678.995,1513.555,0.7902642987113531,0.2097357012886469,1675.27389216,1510.48762847,0.798759757274,0.201240242726,87.0,34,24,0
30,NYY,GB,1436.652,1360.79,0.6922941947435325,0.3077058052564675,1435.34074047,1366.82727096,0.717857429763,0.2821425702369999,8.0,35,17,0
31,NYG,CLE,1506.709,1688.099,0.3384980281313144,0.6615019718686855,1505.8577683,1683.97581482,0.303924315303,0.696075684697,89.0,17,13,0
32,WSH,ARI,1395.445,1504.45,0.4370081905124514,0.5629918094875486,1394.08869259,1501.78570582,0.449862741482,0.550137258518,21.0,28,38,1
33,SF,DET,1453.673,1468.492,0.5717182572661501,0.4282817427338499,1453.73165756,1469.04538581,0.581496359569,0.4185036404309999,36.0,28,27,0
